No.,No. 2,Description,Price EXW,Description 2,Inventory,Net Change,Unit Price,Unit Price Including VAT,Unit Cost,Profit %,Base Unit of Measure,Blocked,Division Code,Item Category Code,Recipe Item Type,Barcode No.,BRANDS,Gen. Prod. Posting Group,Transfer Posting Group,Inventory Posting Group,Division Description,Item Category Description,Retail Product Code,DisCountinue,Unit Cost1,Retail Product Description,Qty. Onhand at Date,VAT Bus. Posting Gr. (Price),Date Created,Created by User,Last DateTime Modified,Last Modified by User,Gross Weight,Net Weight,No Discount Allowed,Price Includes VAT
22-3782,,تكاية لاندكروزر تكية طير بيج  2022,0.00,تكاية لاندكروزر تكية طير بيج  2022,40.,40.,660.00,660.00,431.106,24.88305,PCS,FALSE,CARS ACCES,CAR EQUIPM, ,22-3782,,PRODUCT,TRANSFER,INV,Cars Accessories,Car Equipment,ARMREST,TRUE,431.106,Armrest,40.,VAT,2/11/2021,ZAIDG\RMKT009,29/04/26 08:28:42,30485,0.,0.,FALSE,TRUE
22-3783,FUEL1035,خزان وقود بعجلات ومضخة - 53 لتر,0.00,TANK WITH NOZZLE AND WHEEL - 53 LITER,1.,1.,667.00,667.00,238.185,58.93362,PCS,FALSE,CARS ACCES,TANKS, ,6285654024204,AL RIMAYA,PRODUCT,TRANSFER,INV,Cars Accessories,Tanks,FUEL TANKS,FALSE,238.185,Fuel Tanks,1.,VAT,3/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3784,FUEL1035,خزان وقود بعجلات ومضخة - 95 لتر,0.00,TANK WITH NOZZLE AND WHEEL - 95 LITER,0.,0.,"1,245.00","1,245.00",404.91,62.59867,PCS,FALSE,CARS ACCES,TANKS, ,6285654024211,AL RIMAYA,PRODUCT,TRANSFER,INV,Cars Accessories,Tanks,FUEL TANKS,FALSE,404.91,Fuel Tanks,0.,VAT,3/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3785,732119000000,منقل معلق,0.00,SWING GRILL,82.,82.,159.00,159.00,72.394,47.63956,PCS,FALSE,CAMPING,CAMPING BBQ GRILLER, ,6285654024488,,PRODUCT,TRANSFER,INV,Camping,CAMPING BBQ GRILLER ,CAMPING BBQ GRILLER,TRUE,72.394,CAMPING BBQ GRILLER,82.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3786,732391000000,قدر غضار 20 سم - أحمر,0.00,ENAMEL CASSEROLE POT 20CM - RED,48.,48.,58.00,58.00,23.874,52.66362,PCS,FALSE,COOKING,COOKWARES, ,6285654037860,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,23.874,Pancake Pizza Makers,48.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3787,732391000000,قدر غضار 20 سم - أحمر وأصفر,0.00,ENAMEL CASSEROLE POT 20CM - YELLOW & RED,67.,67.,58.00,58.00,21.754,56.86707,PCS,FALSE,COOKING,COOKWARES, ,6285654037877,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.754,Pancake Pizza Makers,67.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3788,732391000000,قدر غضار 20 سم - مزخرف,0.00,ENAMEL CASSEROLE POT 20CM - MULTI-COLOR,39.,39.,58.00,58.00,21.753,56.86905,PCS,FALSE,COOKING,COOKWARES, ,6285654037884,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.753,Pancake Pizza Makers,39.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3789,732391000000,قدر غضار 20 سم - وأخضر,0.00,ENAMEL CASSEROLE POT 20CM - WHITE WITH GREEN,122.,122.,58.00,58.00,21.754,56.86707,PCS,FALSE,COOKING,COOKWARES, ,6285654037891,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.754,Pancake Pizza Makers,122.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3790,732391000000,قدر غضار 26 سم - أحمر,0.00,ENAMEL CASSEROLE POT 26CM - RED ,26.,26.,78.00,78.00,32.113,52.65391,PCS,FALSE,COOKING,COOKWARES, ,6285654037907,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,32.113,Pancake Pizza Makers,26.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3791,732391000000,قدر غضار 26 سم - أحمر وأصفر,0.00,ENAMEL CASSEROLE POT 26CM - RED & YELLOW,63.,63.,78.00,78.00,29.047,57.17429,PCS,FALSE,COOKING,COOKWARES, ,6285654037914,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,29.047,Pancake Pizza Makers,63.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3792,732391000000,قدر غضار 26 سم - مزخرف,0.00,ENAMEL CASSEROLE POT 26CM - MULTI-COLOR,12.,12.,78.00,78.00,29.053,57.16545,PCS,FALSE,COOKING,COOKWARES, ,6285654037921,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,29.053,Pancake Pizza Makers,12.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3793,732391000000,قدر غضار 26 سم - أبيض وأخضر,0.00,ENAMEL CASSEROLE POT 26CM - WHITE WITH GREEN,114.,114.,78.00,78.00,29.054,57.16397,PCS,FALSE,COOKING,COOKWARES, ,6285654037938,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,29.054,Pancake Pizza Makers,114.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3794,732391000000,فواحة غضار 1 لتر - أحمر,0.00,ENAMEL MILK POT 1 LITER - RED,33.,33.,58.00,58.00,21.989,56.40112,PCS,FALSE,COOKING,COOKWARES, ,6285654037945,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.989,Pancake Pizza Makers,33.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3795,732391000000,فواحة غضار 1 لتر - مرخرف,0.00,ENAMEL MILK POT 1 LITER - MULTI-COLOR,10.,10.,58.00,58.00,20.105,60.13664,PCS,FALSE,COOKING,COOKWARES, ,6285654037952,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,20.105,Pancake Pizza Makers,10.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3796,732391000000,فواحة غضار 1 لتر - أبيض وأخضر,0.00,ENAMEL MILK POT 1 LITER - WHITE / GREEN,75.,75.,58.00,58.00,20.106,60.13466,PCS,FALSE,COOKING,COOKWARES, ,6285654037969,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,20.106,Pancake Pizza Makers,75.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3797,732391000000,فواحة غضار 1.65 لتر - أحمر,0.00,ENAMEL MILK POT 1.65 LITER - RED,75.,75.,78.00,78.00,28.114,58.54987,PCS,FALSE,COOKING,COOKWARES, ,6285654037976,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,28.114,Pancake Pizza Makers,75.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3798,732391000000,فواحة غضار 1.65 لتر - مزخرف,0.00,ENAMEL MILK POT 1.65 LITER - MULTI-COLOR,8.,8.,78.00,78.00,25.286,62.71936,PCS,FALSE,COOKING,COOKWARES, ,6285654037983,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,25.286,Pancake Pizza Makers,8.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3799,732391000000,فواحة غضار 1.65 لتر - أبيض وأخضر,0.00,ENAMEL MILK POT 1.65 LITER - WHITE / GREEN,70.,70.,78.00,78.00,25.291,62.71199,PCS,FALSE,COOKING,COOKWARES, ,6285654037990,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,25.291,Pancake Pizza Makers,70.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3800,732391000000,إبريق غضار 1.2 لتر - أحمر,0.00,ENAMEL TEA KETTLE 1.2L - RED,29.,29.,48.00,48.00,18.223,56.34073,PCS,FALSE,COOKING,COOKWARES, ,6285654038003,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,18.223,Pancake Pizza Makers,29.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3801,732391000000,إبريق غضار 1.2 لتر - مزخرف,0.00,ENAMEL TEA KETTLE 1.2L - MULTI-COLOR,1.,1.,48.00,48.00,16.57,60.30104,PCS,FALSE,COOKING,COOKWARES, ,6285654038010,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,16.57,Pancake Pizza Makers,1.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3802,732391000000,إبريق غضار 1.2 لتر - أبيض وأخضر,0.00,ENAMEL TEA KETTLE 1.2L - WHITE / GREEN,48.,48.,48.00,48.00,16.573,60.29385,PCS,FALSE,COOKING,COOKWARES, ,6285654038027,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,16.573,Pancake Pizza Makers,48.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3803,732391000000,إبريق غضار 2 لتر - أحمر,0.00,ENAMEL TEA KETTLE 2 LITER - RED,262.,262.,56.00,56.00,22.464,53.86857,PCS,FALSE,COOKING,COOKWARES, ,6285654038034,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,22.464,Pancake Pizza Makers,262.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3804,732391000000,إبريق غضار 2 لتر - مزخرف,0.00,ENAMEL TEA KETTLE 2 LITER - MULTI-COLOR,52.,52.,56.00,56.00,20.343,58.2242,PCS,FALSE,COOKING,COOKWARES, ,6285654038041,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,20.343,Pancake Pizza Makers,52.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3805,732391000000,إبريق غضار 2 لتر - أبيض وأخضر,0.00,ENAMEL TEA KETTLE 2L - WHITE / GREEN,323.,323.,56.00,56.00,20.344,58.22214,PCS,FALSE,COOKING,COOKWARES, ,6285654038058,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,20.344,Pancake Pizza Makers,323.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3806,732391000000,إبريق غضار 2.5 لتر - أحمر,0.00,ENAMEL TEA KETTLE 2.5L - RED,360.,360.,64.00,64.00,24.342,56.26047,PCS,FALSE,COOKING,COOKWARES, ,6285654038065,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,24.342,Pancake Pizza Makers,360.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3807,732391000000,إبريق غضار 2.5 لتر -  مزخرف,0.00,ENAMEL TEA KETTLE 2.5L - MULTI-COLOR,42.,42.,64.00,64.00,21.992,60.48313,PCS,FALSE,COOKING,COOKWARES, ,6285654038072,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.992,Pancake Pizza Makers,42.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3808,732391000000,إبريق غضار 2.5 لتر - أبيض وأخضر,0.00,ENAMEL TEA KETTLE 2.5L - WHITE & GREEN,417.,417.,64.00,64.00,21.992,60.48313,PCS,FALSE,COOKING,COOKWARES, ,6285654038089,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.992,Pancake Pizza Makers,417.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3809,732391000000,إبريق غضار 1.5 لتر - أحمر وأصفر,0.00,ENAMEL TEA KETTLE 1.5L - RED & YELLOW,152.,152.,38.00,38.00,17.987,45.56566,PCS,FALSE,COOKING,COOKWARES, ,6285654038096,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,17.987,Pancake Pizza Makers,152.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3810,732391000000,إبريق غضار 2.5 لتر - أحمر وأصفر,0.00,ENAMEL TEA KETTLE 2.5L - RED & YELLOW,334.,334.,46.00,46.00,23.17,42.075,PCS,FALSE,COOKING,COOKWARES, ,6285654038102,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,23.17,Pancake Pizza Makers,334.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3811,732391000000,إبريق غضار 3.5 لتر - أحمر وأصفر,0.00,ENAMEL TEA KETTLE 3.5L - RED & YELLOW,140.,140.,54.00,54.00,25.755,45.15139,PCS,FALSE,COOKING,COOKWARES, ,6285654038119,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,25.755,Pancake Pizza Makers,140.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3812,732391000000,إبريق غضار  1.3 لتر - أحمر,0.00,ENAMEL KETTLE 1.3L - RED,108.,108.,48.00,48.00,19.403,53.51365,PCS,FALSE,COOKING,COOKWARES, ,6285654038126,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,19.403,Pancake Pizza Makers,108.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3813,732391000000,إبريق غضار 1.3 لتر - مزخرف,0.00,ENAMEL KETTLE 1.3L -MULTI-COLOR,8.,8.,48.00,48.00,17.513,58.04177,PCS,FALSE,COOKING,COOKWARES, ,6285654038133,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,17.513,Pancake Pizza Makers,8.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3814,732391000000,إبريق غضار 1.3 لتر - أبيض وأخضر,0.00,ENAMEL KETTLE 1.3L-WHITE &GREEN,103.,103.,48.00,48.00,17.518,58.02979,PCS,FALSE,COOKING,COOKWARES, ,6285654038140,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,17.518,Pancake Pizza Makers,103.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3815,732391000000,إبريق غضار 1.85 لتر - أحمر,0.00,ENAMEL KETTLE 1.85L - RED,239.,239.,58.00,58.00,23.404,53.59552,PCS,FALSE,COOKING,COOKWARES, ,6285654038157,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,23.404,Pancake Pizza Makers,239.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3816,732391000000,إبريق غضار 1.85 لتر - مزخرف,0.00,ENAMEL KETTLE 1.85L-MULTI-COLOR,26.,26.,58.00,58.00,21.283,57.80095,PCS,FALSE,COOKING,COOKWARES, ,6285654038164,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.283,Pancake Pizza Makers,26.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3817,732391000000,إبريق غضار 1.85 لتر - أبيض وأخضر,0.00,ENAMEL KETTLE 1.85L-WHITE & GREEN,214.,214.,58.00,58.00,21.285,57.79698,PCS,FALSE,COOKING,COOKWARES, ,6285654038171,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,21.285,Pancake Pizza Makers,214.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3818,732391000000,صحن غضار 40 سم - أحمر,0.00,ENAMEL PLATE 40CM - RED,15.,15.,64.00,64.00,26.696,52.03063,PCS,FALSE,COOKING,COOKWARES, ,6285654038188,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,26.696,Pancake Pizza Makers,15.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3819,732391000000,صحن غضار 40 سم - أحمر وأصفر,0.00,ENAMEL PLATE 40CM - RED & YELLOW,9.,9.,64.00,64.00,24.111,56.67555,PCS,FALSE,COOKING,COOKWARES, ,6285654038195,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,24.111,Pancake Pizza Makers,9.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3820,732391000000,صحن غضار 40 سم - مزخرف,0.00,ENAMEL PLATE 40CM - MULTI-COLOR,4.,4.,64.00,64.00,24.112,56.67375,PCS,FALSE,COOKING,COOKWARES, ,6285654038201,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,24.112,Pancake Pizza Makers,4.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3821,732391000000,صحن غضار 40 سم - أبيض وأخضر,0.00,ENAMEL PLATE 40CM - WHITE & GREEN,17.,17.,64.00,64.00,24.111,56.67555,PCS,FALSE,COOKING,COOKWARES, ,6285654038218,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,24.111,Pancake Pizza Makers,17.,VAT,6/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3822,732394000000,قدر غضار بغطاء زجاجي 20 سم - أحمر,0.00,ENAMEL POT WITH GLASS LID 20CM - RED,39.,39.,58.00,58.00,22.656,55.07862,PCS,FALSE,COOKING,COOKWARES, ,6285654024242,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,22.656,Pancake Pizza Makers,39.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3823,732394000000,قدر غضار بغطاء زجاجي 26 سم - أحمر,0.00,ENAMEL POT WITH GLASS LID 26CM - RED,18.,18.,78.00,78.00,31.073,54.18724,PCS,FALSE,COOKING,COOKWARES, ,6285654024259,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,31.073,Pancake Pizza Makers,18.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3824,732394000000,قدر غضار  18 سم - أصفر,0.00,ENAMEL CASSEROLE POT 18CM - YELLOW,29.,29.,42.00,42.00,16.095,55.93036,PCS,FALSE,COOKING,COOKWARES, ,6285654024266,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,16.095,Pancake Pizza Makers,29.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3825,732394000000,قدر غضار  22سم - أصفر,0.00,ENAMEL CASSEROLE POT 22CM - YELLOW,38.,38.,49.00,49.00,19.333,54.62663,PCS,FALSE,COOKING,COOKWARES, ,6285654024273,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,19.333,Pancake Pizza Makers,38.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3826,732394000000,قدر غضار  18 سم - أحمر,0.00,ENAMEL CASSEROLE POT 18CM - RED,9.,9.,42.00,42.00,16.095,55.93036,PCS,FALSE,COOKING,COOKWARES, ,6285654024280,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,16.095,Pancake Pizza Makers,9.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3827,732394000000,قدر غضار  22سم - أحمر,0.00,ENAMEL CASSEROLE POT 22CM - RED,30.,30.,49.00,49.00,19.334,54.62429,PCS,FALSE,COOKING,COOKWARES, ,6285654024297,,PRODUCT,TRANSFER,INV,Cooking,Cookwares Bag,BAKEWARE,TRUE,19.334,Pancake Pizza Makers,30.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3828,HATCAP1020,قبعة بواقي خلفي - رمادي,0.00,CAP WITH BACK FLAP - GREY,63.,63.,48.00,48.00,16.184,61.22583,PCS,FALSE,APPAREL,CAPS, ,6285654024228,AL RIMAYA,PRODUCT,TRANSFER,INV,Apparel,Caps,BALACLAVA,TRUE,16.184,BALACLAVA,63.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3829,HATCAP1020,قبعة بواقي خلفي - بيج,0.00,CAP WITH BACK FLAP - BEIGE,62.,62.,48.00,48.00,16.184,61.22583,PCS,FALSE,APPAREL,CAPS, ,6285654024235,AL RIMAYA,PRODUCT,TRANSFER,INV,Apparel,Caps,BALACLAVA,TRUE,16.184,BALACLAVA,62.,VAT,8/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3830,,عربة قابلة للطي - أسود وأحمر,0.00,MULTI-PURPOSE FOLDABLE CART - BLACK & RED,238.,238.,195.00,195.00,141.864,16.33662,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024365,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,141.864,Boxes,238.,VAT,9/11/2021,ZAIDG\RMKT009,29/04/26 08:29:06,30485,0.,0.,FALSE,TRUE
22-3831,,صندوق بغطاء خشبي 55 لتر - أبيض,0.00,FOLDING STORAGE BOX WITH WOOD LID 55L- WHITE,24.,24.,88.00,88.00,37.99,50.35398,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024372,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,37.99,Boxes,24.,VAT,9/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3832,,صندوق بغطاء خشبي 55 لتر - أسود,0.00,FOLDING STORAGE BOX WITH WOOD LID 55L - BLACK,22.,22.,88.00,88.00,37.992,50.35136,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024389,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,37.992,Boxes,22.,VAT,9/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3833,,صندوق بغطاء خشبي 55 لتر - أزرق,0.00,FOLDING STORAGE BOX WITH WOOD LID 55 LITER - BLUE,27.,27.,88.00,88.00,37.992,50.35136,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024396,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,37.992,Boxes,27.,VAT,9/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3834,,صندوق بغطاء خشبي 55 لتر - أخضر,0.00,FOLDING STORAGE BOX WITH WOOD LID 55 LITER - GREEN,199.,199.,88.00,88.00,37.991,50.35267,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024402,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,37.991,Boxes,199.,VAT,9/11/2021,ZAIDG\RMKT009,29/04/26 08:29:06,30485,0.,0.,FALSE,TRUE
22-3835,HF-60Y04J,صندوق ثلج 22 لتر - زيتي,0.00,COOLER BOX 22L - OLIVE GREEN,58.,58.,285.00,285.00,114.553,53.77686,PCS,FALSE,FRIDGE COO,COOLERS, ,6285654024419,,PRODUCT,TRANSFER,INV,Fridge Coolers,Coolers,COOL BAG C,TRUE,114.553,Cool Bag,58.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3836,HF-60Y04E,صندوق قابل للطي - رمادي + أصفر,0.00,FOLDABLE STORAGE BOX - GREY + YELLOW,440.,440.,128.00,128.00,58.231,47.68309,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024426,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,58.231,Boxes,440.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:28:06,30485,0.,0.,FALSE,TRUE
22-3837,HF-60Y04E,صندوق قابل للطي - رمادي + أسود,0.00,FOLDABLE STORAGE BOX - GREY + BLACK,127.,127.,128.00,128.00,58.232,47.68219,PCS,FALSE,CAMPING,STORAGE CP, ,6285654024433,,PRODUCT,TRANSFER,INV,Camping,Storage,BOXES STOR,TRUE,58.232,Boxes,127.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:28:05,30485,0.,0.,FALSE,TRUE
22-3838,TBL1002,طاولة قابلة للطي 40×29×12 سم - المنيوم,0.00,FOLDING TABLE 40x29x12CM - ALUMINUM,221.,221.,79.00,79.00,37.229,45.80589,PCS,FALSE,FURNITURE,TABLES, ,6285654024440,,PRODUCT,TRANSFER,INV,Furniture,Tables,FOLDING TA,TRUE,37.229,Folding Tables,221.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3839,MAT1007,مفرش 130×160 سم - مزخرف بعدة الوان,0.00,BLANKET 130X160CM  - MULTI-COLOR,17.,17.,95.00,95.00,36.032,56.38232,PCS,FALSE,CAMPING,MATS, ,6285654024457,,PRODUCT,TRANSFER,INV,Camping,MATS,MAT,TRUE,36.032,,17.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
22-3840,HF-60U01R,إبريق - زجاج حراري,0.00,GLASS COFFEE POT WITH BOX,31.,31.,44.00,44.00,20.322,46.88568,PCS,FALSE,CAMPING,COFFEE WARMER, ,6285654024464,,PRODUCT,TRANSFER,INV,Camping,COFFEE WARMER,COFFEE WARMER,TRUE,20.322,COFFEE WARMER,31.,VAT,10/11/2021,ZAIDG\RMKT009,29/04/26 08:29:05,30485,0.,0.,FALSE,TRUE
